results_code,version,area_code,season,period,species_code,species_id,year,index,stderr,stdev,upper_ci,lower_ci,LOESS_index,trend_index
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,1999,2.94621779624682,0.00998314468415753,0.315694754129401,3.63461226537046,2.37298077350888,2.76771469409766,2.86380702861305
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2000,2.74919910528265,0.00918089015963299,0.290325238522671,3.36462253399705,2.21663179074285,2.75661514695065,2.85804208269843
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2001,2.46225821103697,0.00813591961089957,0.257280368304735,3.00870862602572,1.97097133301928,2.7764386244282,2.85231160136283
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2002,2.54487091831202,0.00890979840354331,0.281752564481289,3.12095190634965,2.0392335339231,2.81437443911088,2.84661541752638
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2003,3.29037239009906,0.0103982779771329,0.328822421513082,3.98421770610514,2.70154978897265,2.88825385105865,2.84095336529892
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2004,2.89896091049841,0.00920928729395089,0.291223234757334,3.52816657820273,2.38197060281057,2.97300342947363,2.83532527997206
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2005,2.5875417724702,0.00862693041751846,0.272807493351457,3.15619034295132,2.10346802973867,3.11529492291577,2.82973099801144
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2006,3.60286016765079,0.012001443873497,0.379518978509241,4.42577698722541,2.92696709095273,3.13337868939458,2.82417035704892
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2007,3.09221191106498,0.00581115840902207,0.183764964165501,3.48429918450889,2.75983922001275,3.11250587648083,2.81864319587496
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2008,3.38355412386449,0.0108670169602908,0.343645249661986,4.13961335535022,2.76700032409133,3.08458639833747,2.8131493544309
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2009,2.49548978943974,0.00804889711721061,0.254528475427488,3.02079044343471,2.05854823669666,2.98180885282926,2.80768867380147
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2010,2.82081279544376,0.00894435781293986,0.282845428964122,3.39178481297987,2.29265459655285,2.85437845777162,2.80226099620726
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2011,3.16336605291471,0.00975567073884519,0.308501396374085,3.78598608798972,2.60209921374168,2.73922138030826,2.79686616499726
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2012,2.55500016012534,0.00895578629739296,0.283206829374879,3.18797709720918,2.06026534370886,2.68522512443571,2.79150402464148
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2013,2.48853273022584,0.00830519829988298,0.262633430469884,3.00666540748132,2.01740963815865,2.65253817958073,2.78617442072363
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2014,2.58153474830618,0.00805879062896264,0.254841335739428,3.10043455775218,2.11416045732061,2.61368542020903,2.78087719993383
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2015,2.78188579582654,0.00856695749641512,0.270910983065256,3.32797109532623,2.2916303212405,2.62362377498556,2.77561221006143
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2016,2.52646598181528,0.00815791292744452,0.257975858040566,3.05433247549946,2.0724458939414,2.65140878627189,2.77037929998782
BCCWS_PSSS,2025,BC,Winter,all years,BAEA,3020,2017,2.70310597723789,0.00833989408805709,0.263730607628333,3.22552057451396,2.23308281242463,2.72480291608959,2.76517831967935
